username,user id,access hash
Fedorsaaaaas,1260693722,1998106232072101053
,1611847584,7884987964563288841
milana_umu,5270022469,-453995258393115401
Pupsek12,5811326692,4109120107145577905
oxothik,1103562147,207052558148175577
,2050352920,-693525884802739658
,5909425391,7193288027971709616
Limonad2701,900711639,-4389004648330806093
bigpensilll,1228023396,-1493965726476626048
diasnmklop,1647053040,-5633636134752535784
vladimiriso,1654938011,-2599120187294975509
fgryus,5649178823,9082212103714576697
Akula_5555,5970367925,-3585151268076135535
FROCTI,2114046159,4400616819507482323
,5183979099,-259871852972120979
,5362281095,2010288693060680286
hq891,5493994133,4795172818116025825
ladno_pofik,5728980963,-4165098300796005032
Polino4ka_308,5944309278,-3866733903899431771
uthtrgre666,1043674307,7121641383751708126
TluciferT,1566810725,-3527587365723600418
Psyatsys,5542179373,-3044953147078288330
Pearls_instead_of_teeth,5624491148,-6064898537422445452
,5644754562,3633531980180507942
cutiekrrrr,1379336036,-8382374561533911139
,5130356724,-369599585876487248
sahainba,5201864980,-3133259992683550361
hi_loseer,5491831535,-2302197276310226105
BcemTuxo0,5619036198,-7727544070793375237
ewsqriz,5621411504,865054057392382754
Teal433,5486861396,580804373213106541
S_ve_ta_la_na,5518127715,58639020246749210
,5582162717,-6550679771831189655
,5684927199,6875516319977647649
,5805282832,8876794580247462949
Time_YouLoveMe1,1377345279,-4896630796800057079
Pertiio14532,1835042189,8756571390712453202
,5338759890,7431192832304362481
Ihavedickkk,5647508554,-3413499070602404934
krofi0,2120706631,-407177710446878080
Dacdya,5041358572,-6215433035805935135
Hu_too_un025,5088103898,-8242045517728643276
soooopaa,5176465852,-4139173715985234154
,5196556349,5749452605161986822
Anopmo,5312424650,8026506048326935774
Sandistrio,5671006194,-397059551818088988
ARATURIK,5796685092,2281952207126908327
Teaxx0w,5703619451,-924704714659678090
viktoria6381,5741991854,8898489988424011805
Karima_12,1446400617,3749642697737958175
Enjjoy7,1527353587,-3593145140802218511
,2104104001,6693611270519250485
MiyagiIslam2001,5567193690,-2259750017934425820
milonioli,5951476975,-7857870322702818227
yamin_naa,1274713282,981933724984282585
friend0901,1353550389,8164702255789691001
Mapce00,1579177863,-5067615111047818764
wwixe_zxc,1637125878,-5989198757809558279
TBOU_nyncuk15,1647700113,3552912357654908792
loposhka,1915610838,7351642649937319421
Ynuszoda,5180734136,261290363822891696
,5926463701,606586308980967597
zcsssli,704367976,-211477353501710559
ferz07,1691521041,7355541007091612407
,2043545125,-6002421129264438827
toto22001,5062649921,-4019023354933044992
Qurudhdjdd,5295522812,-230296891158807992
Difika007,1159506113,6048002772144058486
Cooool228,5508435240,-8376677151285776873
TiPurav,5588230500,-8681905256100937904
Fegrde,997274619,-4968650485637048777
CoHa_l,5129708124,7029348136961680352
kovaltemka,5189834329,6964507352292815895
cvvcord,5547963189,4436602671381729384
,5564314586,840422717708497676
,5652654240,4251400606435285777
Andrei_Kykarov,5738393202,-8779898739576560520
Belo_4ka_neme,5927624608,429147301638227087
Pahan_P,706394119,3671896000455301915
hiiimmma,934945783,5392213875237530745
,1361193304,-1570330358759567909
sozDanr,1479066995,-7558971804364765505
Forever_ind,5206860534,5230868393696808422
Hanna_Rolle,5793692490,488224131779275145
marlboro2811,732969828,-6842269589347977727
happy_man2008,1040152904,-154713608940840910
Anastasiiyaaaaau,5728968556,8589270623575677887
,5746919410,5823105294633624331
prostiiiiiiiiii,5662053237,5649565496297692217
kivsyakg,5673645595,-7009425599162082154
Milkywa_y,917825407,-7980174916275685777
MGS_VTPP,962444727,7292708584174549802
Dantex1609,1194248432,4091745997953996812
Moliya_grand_2023,2055166203,865404888690566872
PESsobaka5909,458452259,-3556402712181041228
Prive127G,598481600,-2637262474824838989
varvar600,1327703260,8723484227782669898
,2082795615,-6142615250947670961
,5886617905,-2426726243044206646
im_cringe21,982304632,-4095783549604841381
Evashka_love,1667753395,-7229027083922505540
,5174546005,3497207472215921855
Neizvestnaqyvub,5251807334,-4343984083182839142
n_o_H1128,5513836291,4475824465664992225
Spatb_lublu_f,5709304514,9089795295118660159
,5782008584,-825097588229821677
kofffemanka000,1409543763,-2558691096118289891
,5801992782,-7768327055058059275
kvin4ick,1415312837,5386622854011342614
meoo_ww,1476700686,-7844227866927233065
Sofiklol0,2055673555,7275417672462198837
nevermoreeqqq,650488423,9189556439589474919
Franklin_GTAV,1002081985,-3643771690756322314
Cat182020,5196985168,3279447569878300916
Prinzes2001,832477906,9097294715330924899
Dado9097,1464827551,1721309347032440638
Oaoaoaooaoaa,1971944562,5938591373529391066
Oxae_q,5489658806,6008472924361323831
MuR_MuR16,5869161106,234996832369183255
Love_Dianku,1066545306,-5506820944756821140
us14043,1317102804,7720093459424531905
hrepo,1912060238,2784346160301928633
pon_pon_pon_t,1993857461,-7291331108645806742
MaksimkaSyka,5212180047,5661680027318171695
Gkskgtj,5502094280,4409212135660837347
ms_dragonxxx,5762225598,-3569217814642483989
Lox_lol_lox,5907519619,-983626946264406598
Dauiie,941338740,2349701477790095442
lll909009999,1616448680,5249739590790374030
roccia365,1641965646,-1780846405325125605
FirstShineMoon,1785196224,-7636472348141451877
,1931855733,4707685379336036198
,5213602726,-2173285292275401148
marinka_91020,5709560381,3054546484223463053
kriisss_00017,5864849227,-3953899704497659823
Streyhold,1341729974,8390541481877341182
,5353680912,-7633501708304119705
Lorddddddddddddddddh,713436846,-4513011787908383700
saddnneess,803727065,7343596624711895888
,1151370224,-4021767819090133584
Nurlan_3221884,1246588380,-5061957563820526364
GGWPTOP002,1403242586,1732844120439661542
winzxcl,1408853045,-579611741299347412
yarav,2036684928,7908568862277774815
lilka03,5145354867,8055020089497158588
,5957057587,1488317448801738186
BRUTAL_D,1434581202,219353714792062974
defold_top,1649802145,6723239617695304813
Purple_flower_0,5122244925,-3264400516869605605
,5334371806,4801887976263311141
AlbatrosLLA,5383107293,754447096030486929
,5666867204,5446336626127498471
Ghoul10101,5731149376,-578702490105062099
,5925255997,2620600873061405613
D3BNL,986401308,3227915578789792110
night_Rin,1179243056,5705999966271784933
zxccxzu,1291981390,-508791356705678408
Samghost2023,1947086961,-1381239168079007831
ghost_202043,5203653043,-8623248044284619340
,5696868999,2110748249910274894
LixxTanceee,1462171158,452667179789066005
BIBIKA_780,1506821602,-7410277463923861511
cjvhvcf,2071659383,8550872298383650115
byblik_si,5199915826,-9095289845371102076
ivanna_marko_vy_sh,5316470337,4541221736005392457
Djjdjdjs83,5782182395,4822182792448970310
,5814884938,-3281503313250210712
mishka2996,1619505524,8068171035109151244
Sone5s3,2137637921,3600072011778618504
wlixsugr,5057863081,-6248556588726755160
Gonnor_1488,5361051115,5517115984304308886
loltrash0,5774996458,-4180384187581995958
Insultnik,5807111012,8899279858328659104
,5895586726,2855133681296932476
,5973223829,4345832994514188763
,5973608573,-5560918167257793901
,852321280,5349852511727504261
mihail22355,932311353,-1789828689181314028
,5108997715,9011203595682710040
wiilllyue,5192284278,-3566912274665854660
,5761144754,4327755166723735495
ghostbooyy,5803054323,7801003076622205006
,5818653841,7724663326194991780
sissqwwr0,5847966871,-8940835702874341568
Laxus2000,1727293784,-5351460540766677428
dadadada_dad_asdada,5294096247,-3862585851480431177
Viking4699,5601425451,-8135914852077361397
hhfd23,5819556781,-7568398480300803571
dra1nkids,5907159927,-8645879489437933281
Hello_kuromi64,5950232403,2514698040236639411
Miikooo,1252905375,-5361592528909981985
lena157a,1427313951,-1649171365247705486
Shishka2525,5039757288,-6867941665286413300
candys467,5081779601,3341833784171775763
gulyaxx,5545327256,7248028162873359134
Milkaclgdyo,5897292921,51918874662942256
lizkasn,1416661738,-8554926109047703989
Vdgfgg_love,5299407542,-2692343403675742033
,5500636954,4370378475497398675
Liza221133,5612007431,-7166629843752684769
,1060848255,1145427190871943721
Sha_0ne,1765356676,4865378719921010489
Gogl2021,2012290522,-5412610054567197286
jgcfghuvcfv17,5349377897,-7131757626109783560
adina2007,5435220382,5144611758004083280
jsjdjdjjdjesm,5465223204,-8797304572176425664
Cats_love121,5563543543,-4870655636374138204
,5761431958,4600297011357954843
,5829368236,8123920927637540409
Cocaine448,5861213321,-4243259888497931075
DQdusty,624127138,8819672991176198407
DayH575,1597390779,914203187878643964
Vodka_82,2142624174,-4173180594307153831
hellboy1605,5644844176,3975052013937867427
Slayerbaby03,5973409850,-8664854340389167954
Felixmud,1768356655,6927086619378164674
GiDrA7477,5032997846,-5300431244012582976
,1479558760,3393619752486692707
Gvibdjij,1501973333,-5378075024964757365
,2128159069,-1421875229198656594
,5435095576,5208861670226256071
wqxxil,5675495167,-469675899216177003
gayxz,5695809850,6689025347252135063
Crybabymar,5718029417,-7209444365623388485
,5734990683,-8985743256240372139
glandotu,643345036,6694265086426422439
scallymilanolegenda,868183999,-1413342752299098366
gigit13,1742461785,3865027273589081120
speshu_k_tebe,5194446711,-319608575941748098
,5411979955,4303385517243675696
,5750119334,-5067974131027043922
DEAD1NSS,5814979671,5916321573918139207
You15Angel,1742045053,-9197348837275568161
wwgwru,1932116021,6556967072632559615
Im_karina11,5629996721,-1596665434523265555
FARJIK11TG,1665807342,-6799216348577574053
,5256828476,5284799588533511913
Elveraa0489g,5932727393,-8472782085090826005
Ded_ensaed,1891762607,6164792265016196766
,5864506690,2834079776656600881
biliplo,851385147,-7890316759229957058
Quwizer,1245974436,6203926406235993489
IGypsies,1392280275,3958604174184100322
,1474140137,4505358339138179104
botgoma,5055202286,5284559230724176284
dronfg,5156103648,-3267961494256081544
korgik_kop,5205321837,-4541521238161971977
,5216754020,3303232501421248793
Dororor0,5347318357,8804961587969061547
,5374867773,1831532740583610816
olegkizary,5582079222,7070017590368785908
xyinya_ponatno,5673461887,-7411107725351099116
koner125,5760742534,-1989573836515322203
Nasta_759,5791690821,7721707559349829603
Popcorn_roll,884506114,5407384112878259041
Alex_Kraun,1402766889,-2158355457960164165
cheburek_mi,5071649576,-634058241603716623
Koliatkahik,5251314412,-4796916054411282862
Vumen_16,5478543731,6071095997480707826
Tanochka_302,5541072819,6692841373124442021
nerlval,5839356670,5283349323523028234
,5915986188,-762127337329238298
GRIMLOKK,1403773439,7271585729591001988
,5017927876,-2123627792216688807
alvv5665,5032044873,1389939094669736639
VikysiKuk,5287312774,-8079809173639280537
aewwlkh,5473106680,-5905705484314691646
hidrafffd,5503088079,7318694383392368635
,5606410168,-4808436636413993263
funpll,5985198852,-6032892462482013310
Kotikkk55,5988137581,6475625723043507684
krazzz8,720347821,5282360234436709836
Shyev_567,772452055,6860594181517523854
ita4iu4iha1,854988888,-381492031682371479
fari_kr1,1284353071,1478912286990541313
Elon_Musk_666,1469719966,4049333354431521423
,5085074404,-2246382019744941385
,5664320161,8370605571938490723
,5720528823,3617448529263304676
,5791751380,195858746801868691
fbbvtop,5828562601,-5677886493034845883
Karyseli23,1595679658,2535688522097920994
,5133033742,3495965831347262989
chichizpak,5673587108,-9117400246750186579
,5762685899,307529060500643781
,5878313562,-6984123531451603951
MNR658,5149647057,-4002843921843642024
viymo,5414982481,9184155076076464735
tatanksa,5745810533,-3759435196114340633
Tdstgr,5823081032,2091750022390755565
far1777887,791070047,-6363236210373850478
Arsenkrava,1338504652,-8875112646327258609
shqewt40,1299272017,-3406065847881781260
Rvhfcogv,1519709099,1622894423780770449
tme_Abdulbosit,5594194075,4159194883617952319
,5608275919,6611537545796219085
,5831304176,-6529726740709369263
hbghr7,5982176424,-8356476666497619386
VelikiyRemuruTempest,2090815822,-65856782882674462
,5305445534,-7958531814273687363
zidaxrs,5450162256,2505135572342846953
,5524874693,3202351466103256396
zxs_sonik,5621243062,-8855325729123375507
vera_567816,5723304749,-7963085069917926462
mbb2211,632415443,-9158740419428888899
Veronika_sport78,1242175903,-6250983790650037856
killmee25,5134110434,-8378038444298585555
,5595539296,8509262970283216631
Mark_da0,1001568385,3096123512971684927
Kirik_1520,1731357148,-1676861176876839230
doctor989,1800665078,-2446872394652824053
,5248621556,4817265560216431361
puusshheen,5453212475,672977460445238769
n1semilarRIP,5462107279,-5163993952099486660
,5666627096,-3681122380385257005
,5854590891,1878336539708814375
Hello_0_0_0_0,5939231936,-1178114122114621424
Arturpoi,1154133427,-6221505535111655608
Er5oR,1895084249,6711367532329566168
Salamon_44,1989988745,-7406900088078565899
V15dVL,5009679178,5649320291479791891
,5530672380,3623520106225532293
Lesya4776,5842163900,-8765727754192722748
,5850657090,3072350689284799430
,1946498760,440718992997700511
,1982448513,-3544947767369321893
,2118215144,-1070421701099136719
VovaVooo01v,2126251767,8268669052350190451
ynnv1116,5342132877,-365053421359410281
velesivika,1454167510,713832525519138090
wiiaswe,1706371853,-9068713610171188704
,1739472626,-7586315660243445060
Djunbhg,1806665656,6422517673067942923
,5982826913,-6116886459952196455
makarius2008,1421688431,7347544230067651481
hiorkl,1744302413,8218547074697976339
Zess16,5331995878,4483719745943834156
pahan6555,5835119743,-1215171060819342192
type152,5875505567,-2558666368062209019
Maks_Kapone,5973062655,-2041525437995682365
Ziloycik211,488808435,8201036104604799769
goltlkrnq,1370973417,6746082524736407201
imba_imbaimboy,1392857636,5585871713697103460
,5176142073,7651512974297162155
gtxyxu,5334230689,-3851042676252664677
,5604050270,-9041792037881363739
Alksnslssnk,5690295946,-7952487889493065601
Aszera789,1767566028,-7704101302766924331
,5059750901,6642143369275717495
,5131468162,-9113502866433621137
,5141026458,-5491173327140909538
milka10q,5552036512,1160771396117046509
,5661817722,6152686269198634479
,939504228,8349534496859098256
god_suck_from_grandfather,5573050408,-6192477916654863474
,5657112117,387128820401260064
zxclkona,1694726284,-3822204648324517460
,1807241950,1163043536209924499
gybalika,1858652294,-7432872882035454271
krendp,1969996851,-5888052438268895834
PonPonPonPonPon_TRNKA,5069448201,-2236984116681914521
tommy_7I,5227084563,2152258822445537830
saharOKpm,5237222612,6415320610504741617
paradeevich5,5465209565,1698528682321249403
dredlop,5867326319,-369364474601846573
,5897069960,1102917330059182494
kirik666,390701440,-4162456661974363730
Srtvcvhh,1483984834,414352903420307425
Fereraso,1485541306,-490822579379312464
Evil_Corn,1879854992,8575498373128709582
zxczxccxzzxc,1891753074,-5165012559866492619
Norm_shomik,5171830898,6356044509548740431
sladkipupsikd,5727483680,1382958437571048534
Raf2318,5910606378,-8024157159489733987
Zallder,1011148131,8821059867472240505
Cyckek135,1561588953,641090827139818927
,1683245459,-8725156594051103383
S1ze_monkey,1777146004,5563525783624049865
deffi555,5575742400,7518463984651009016
Anastasia_love_4689,5642012059,-6544865009001718028
lerochkagod,5928796767,3855343536128601341
JI_qa,1496080883,-8941749398360933975
U_U_U_U_U_U_U_U_U_U_U_U_U_U_U_UI,5739972919,2347817196518119821
Wh0re_Prost1tute,5785443040,207289974234062846
,5800154213,-3330788674282863054
,5816361064,4078891083684210237
I1ik0,5054475004,6174230657416046848
po9tno,5157639462,-8013514383497716832
deaspora22,5660368161,337417293405792263
baby_mammmyyyy,5867669316,-8033209132582716857
probablypron,5984548798,4726792212966216582
V_V_R_MB,521070942,-5551962788171142056
Fincher23099,1031033428,6396802894032725887
Ilhgxz,1716228483,-3460708628553412226
Zimir42,2017362935,2196425636104718473
A_n_g_e_l_i_n_aaa,5404777529,-5021428443559432465
kateckaaaaaa,5804719507,-1987365902806815587
i_not_loves,1144555029,3354806446507814451
Sprie228,1613490665,-38375615321474861
Luc144,5370462599,-7426509975954575791
eunsiannn,5436926655,751807417747364432
Ligr_007,5691400901,5361288775478483365
coffffiya,5764746789,-1247543851495701047
,5876577851,-8653256516740943748
BHATUPE_DED,1388211787,-3234381349365605818
,1874153069,-7003952649125521845
Qwerthan,5088407230,-2372817937829158803
Peg1237,5222631531,-240025862727055258
Flfdlxl,5745119377,7646250174467947580
,586792381,6092475409465995228
HolodokDanger,1246366454,-8505384135972667816
shakirxl,1743166549,3977358749253821241
Amari_sho,2031813938,-2964862438675303816
lozurw,2102332903,8432950289492620597
nastiyamurmur,5207236479,-6892025845280592947
,5673872958,-784591989042913318
,5749107683,5542353137982487568
NIHTO07,5767913383,7480736040106945655
Werty20012,5785840558,-5988700266071631867
lala367,5955215221,-7668196129063900962
KarinBerg,5964934673,-7438107959125881598
Mnomif,1458264155,-2059221921605501842
Osaidhn,1493870576,-8799791979550082836
eddgyy,5139273640,-32327793481573855
Opasni128,5412891881,4767037435467288048
wepeol,5440621342,4532068322833649257
Xavierpet,5970043838,-4146851937915225554
Fgghhsok,1707433589,356657841382245384
Guuds,1769266886,5246441837433905289
dbs_00,1841350563,-193318709694399309
,5005016371,-3487499976311511206
Santana_6_6_6,5398894960,2344526899189921790
MrSeerry,5515733375,7204631040688064278
Lutifer7,5704050558,-2930342104843331655
shadowraze349,5846702080,6894021442342838784
wf_700,979822469,-7854154960383480325
Alisa_2009top,1460796696,-669909497229253949
Skala_6x6,1477348352,-3450357626346760470
,2075593318,2490663183003712622
,5113019790,-5634187065585762210
zxchaloy,5201687341,4680275510106431766
HOLOdok102,5351325555,1355254156950876691
,5656301973,-2246519195292769490
polina09all,1785334986,-8099453987199342603
WAzali4ka,5445177827,-1733353987713822092
,5488812274,-5693346753190415479
shlushkadirty2,5643706768,1641741256991599741
,5653511367,-9169659216948904850
,5702500795,-6994880246571301265
girl_tia,5720002732,-935501733308642512
William_Epta,5727433020,-7757067739847757329
,5969434744,351157540360866883
Jok_669,2015986844,3338158575066663969
sghfuww,5449301029,-2645510442095198160
floy4,5575583563,5840269665424020414
,5738278876,-1731606466138260116
vika3566789,5855206422,-8422353744041881543
Mira_mirror,715345055,552332130932342163
iii_lluv_yyou,904805053,-5264211252265025681
orevere,2087221949,3688724818315484048
,5516143064,-6180456529680249098
,5828715998,-1432110261542796726
,5853242162,-5886539784423493118
yauwp,1315884743,-8933421423534253919
molodoy_ff,1368342349,1820510840906798352
,1426167511,8805304988277870118
qovcsoi,5156177784,-7724508297688813212
Shameless0_0_0,5230420337,-4021124363196280698
wxxiiuiop,5638816374,7345980592482866975
mef_7890,5643596648,7260619318956937531
,5743950124,-7924721654963631485
agkru,223351410,4278787629796858946
Kirill_12_0,802966367,7632328037480682662
pablo_dkay,938482795,-1482285311168681950
,1605232775,6003690203870993050
Iskraa_zxc,1874293408,7974041339148031305
,2031071340,-8116969541497792604
jus1her0,5409660735,4345974995569490141
,5627123584,5229440076496590755
,5837620446,-4674015664092055615
Vargan18,664099157,3510176720752910923
Zxs_50,1591684796,-8101548613350887585
Kars_novella,1686691425,8303553792439247865
UwU467,5141808159,-8445780870091414545
meq8w,5185079207,-8055814737542317527
No_name_304,5334386836,7452605408826570973
Imligend,5584307702,7293104618343318634
,5808921271,-557960775777534071
Mylovemycat,5873677393,-5298150447223687340
antipopikus,939325674,-1191892023013984620
Seledka56,1626972277,4712755416318915550
tema_golovinov207,1672462201,-4792070513395825208
Sorukiro2001,1714374624,5874094584217442671
,1734386576,8583614903594533613
pidryxa,1795334216,1445182600757509571
A774994,1821369771,5808974408670623569
,5084105642,-3392199210452824416
AnnaKrivoruchko,5217155167,-6397000815238220453
Hil3469,5331975012,-3084461778030467771
,5748507337,3300779124346592323
Lopikos23,1016294467,1653392791258558887
Rap_chiki,1739900387,8976206986069204442
sudbonosec,1748753932,6638817347909376586
xyuuro,5725329659,3533787746787507002
Cgyshenka667,5771080218,3387122548958734499
couldD01,858220086,9101439316093723162
,1140729466,7385666641590820143
,1207406098,1626377758701542222
kaktys_151,2037802789,-277277128513759007
ALoNe_xPlaY,2084321082,1107567366170951535
ADDRBav,5009564152,4937061801183972611
,5363846658,6351902312380814548
Im_ded_insaydyk,5492050724,4528539683612650644
PlugovvNaMatize,1300378090,-8916784412169829873
kukyki228,1494889286,8198016517377303033
Sonyaq_q,1629353162,-2911138193369939408
lebed4227,5317483294,-2380360704944182776
Prosto_a_and,5471702193,-7941736639780384151
Miki_494,5734511176,-5334655208422456331
AsfersaLOVE,5821723037,3499944539404584493
,5940456991,-1680742116220014260
,1031299925,-8563087834000149561
Ksenia_21_3,1761453869,7192266898080624067
,1861940329,6761154233020461414
Mishaanyaa1,1926570773,-975488858758244306
MiLkiWaYtOp1,2147303965,8834691780108416534
Vi_Ka_Kot,5128670075,-1249095750447426044
NOLOVE2007,5293656907,8446269708535128772
snezhana919,5387576216,-8466508539368430892
dreaxzv_0,5412427135,9082947338954236829
K2075213,5526630656,297922407238888680
vasiliska_h,5540413477,-6914926844238246550
HyRnukto,5628487501,-2689596892671790529
Masha_kittty,5639397061,-700498805783008699
Karina3789,5667025346,-6682424518021262928
bichgirl125,5858866970,-4605807360643750292
,5933802999,1305756089925498682
kissswq,1680238547,7249981989306056425
wikssssw,1838168470,8319872980028134980
Nasta_1295,5419744483,1427978188644727796
old000,5456226143,-6688445824904008558
Milky2001,5488031687,8672270000711587099
A_rtist_no,5561041350,2622113884511317780
qwertqwerrt,5583999762,2315632593866712115
Luti_clown,5644916844,520501603539037244
,5658573210,-5203296193937842157
Jdkskadudu,5776242622,-7500822556784650594
Genuwey,763504678,5144277717599450030
yermukhan_zzz,1232057369,868417664217393011
,1653321869,160383693620189164
Lolosdk,1824804764,-1445369949350653860
,2114040911,-5647028663988048300
,5541964565,6582069284638221138
arbenzin,5663668632,-3838105135682347280
xzcyoui,5783744913,-5893613666346209709
MiuMir01,421707616,4834733157743940897
Mdbnz,477467019,-6752135870452399790
Chpocker,677385253,4644173521698984866
pas_napassss,690535215,-9038892396520281204
mrwwzs_23,1526043698,4330699847551146889
Dizomorphin,1712810920,-176117423958053915
Danikhol,1749907255,868653833273593568
pod_mefom,1761830744,-7999210650462915218
Danilkow,1895066916,7150777342906281221
klikred,1996329367,-3229361500833456509
Mermaid93,2079071773,-4687906236268295446
,5590355296,8733188372871737844
,5605064427,-8151949726453097002
SI_rbx,5662627806,6995441614870899327
Liza_zxcs,5669986137,7073737731858224195
,5691342874,-3425013146043371752
,5839470244,-3146793211298419319
,5954841200,3354552531663854237
,1594402880,-4013268506583468338
klimochkw,2083464339,-5813493658572570648
,5100420807,4267583397581773183
,5133067329,5361157133996129355
DS_13_Ukraina,5144319133,-103212079051438728
ponosPesaPatrona,5503242106,4519083084466456200
,5689878078,-7717807077635355120
DickPatrick,532362748,-8011464371626969399
posholtiHaxyU,1534791834,-2598065794567216302
,1763130999,535923052256460495
tnfixbezh,5091523079,2741417397958452505
egorrrrr16,5471546921,4133974959726768279
,5603247796,-3807452428678626706
sedrgad,5633802332,907451500733342155
yaraburiku,5650343511,6539712718947286682
,5652181804,-3049363886902699090
arestakratkaaa,5902223287,-5677042791852191192
amigokkk,1307141044,3114461776488400370
Yvsssp,1498330190,8203879557954150263
straykidstoopp,1656869764,-252614837475388176
,2074839581,-8433194930961160602
Iknowzay,5079096993,1892270313899396754
diagnoz_k,5206276355,910111530028068480
,5288453057,-3004611745872883559
dshwwx_zh,5559712042,-6501356452798792897
Nax_nado_mne,5638872335,-2488771030458443095
pypkin_soft,5764272509,8497350186920654057
Cucumber896,1042122080,8491937574369473363
Fsyvt5gd,1748329206,6711002318884722747
,5231020759,-8321409633005815314
ulecchkaa,5305716835,1661056674165666733
,5748360434,-3022931273752318434
ikodbjx,5822996864,128255815606061405
hhelysspups,501647264,2258535272795679094
sikswhome,899767641,7511417430012713314
Space_Piratee,1072696014,3320310655782706302
neparv1ka,2073326587,-3808107471135317764
,2145236460,2269914709163373051
,5122597549,-2462745499843034647
msmxzd,5327220892,2293944473804974062
L_4_5_6_2_R,5367634120,9202099724536109298
AOAO991,5577842057,-3689105428697515446
,5686583247,-1262162414637523664
ggggoooppasa,5702160395,-7999378313520345403
jskalalaka,5862733228,1865900240407932661
Zorka778,5877247626,-631326585577777473
